Site,Longitude,Latitude,EastVelocity,NorthVelocity,EastError,NorthError,Correlation,Solution,Speed
MNDB,46.0092,36.93,-0.95,13.3,0.19,0.17,0.005,IPGN,13.33388541
MOBA,51.808,34.977,0.09,10.71,0.77,0.76,0.04,Raeesi,10.71037814
MOBK,51.7947,35.0529,-0.63,12.29,0.12,0.13,0.013,IPGN,12.30613668
MOGH,48.049,39.013,5.79,11.53,0.82,0.85,-0.017,Raeesi,12.90213161
MOSH,57.62,26.993,1.11,13.51,2.25,2.11,0.022,Raeesi,13.55552286
MRAD,43.759,38.997,-0.51,11.08,0.73,0.54,-0.038,Reilinger,11.09173115
MRQD,40.761,35.754,-4.45,15.36,0.51,0.52,0.008,Reilinger,15.99162593
MSHN,59.4798,36.3347,-0.1,1.38,0.1,0.1,0.021,IPGN,1.383618445
MURA,43.763,38.99,-0.07,10,0.78,0.78,-0.003,Reilinger,10.000245
MUSC,58.569,23.564,5.94,26.48,0.75,0.63,0,Reilinger,27.13805446
NEBA,60.047,31.573,1.34,6.23,1.3,1.3,0.004,Raeesi,6.372479894
NEHB,60.0382,31.542,2.25,6.11,0.35,0.47,0.003,IPGN,6.511113576
NEYA,50.045,36.401,-2.21,11.43,0.76,0.8,0,Raeesi,11.64169232
NICH,44.526,41.831,0.97,6.3,0.45,0.43,0,Reilinger,6.374237209
NINO,43.891,41.537,0.98,4.36,0.49,0.46,0,Reilinger,4.468780594
NKAD,51.3098,36.685,-3.43,9.59,0.13,0.16,0.009,IPGN,10.18493986
NKSR,60.2536,26.2536,2.09,5.38,0.44,0.37,0.006,IPGN,5.77169819
NOGH,59.937,32.988,1.54,5.54,1.01,1.01,0.004,Raeesi,5.750060869
NORA,46.093,39.536,4.11,11.13,1.07,0.96,0.013,Raeesi,11.86461125
NOSH,51.768,36.586,-4.08,10.47,1.93,1.75,0,Raeesi,11.23687234
NSSP,44.5029,40.2265,2.29,7.09,0.16,0.15,0.007,IPGN*,7.450650978
NYBD,57.397,32.492,-0.24,9.68,1.26,1.27,0.002,Raeesi,9.68297475
NZSF,45.1144,38.9988,4.42,9.64,0.17,0.28,0.004,IPGN,10.60499882
ODZ0,44.593,41.055,3.07,7.02,0.69,0.69,-0.01,Reilinger,7.661938397
OLTU,41.99,40.548,0.92,3.74,0.79,0.81,-0.046,Reilinger,3.851493217
ORMA,64.6339,25.2088,2.89,13.16,1.16,1.08,0.014,Frohling,13.47359269
ORTA,47.869,37.929,3.5,13.87,0.61,0.61,0.003,Raeesi,14.30478591
OSL2,52.607,27.474,-1.16,22.99,1.89,1.81,0,Raeesi,23.0192463
OZAL,43.989,38.657,-2.25,14.84,0.76,0.76,-0.002,Reilinger,15.00960026
PANG,64.1096,26.9778,1.56,1.85,0.78,0.73,0.033,Frohling,2.419938016
PASN,63.4684,25.2588,4.01,17.14,1.11,0.97,0.024,Frohling,17.60283216
PISH,51.885,35.224,-0.76,10.97,0.52,0.51,0.01,Raeesi,10.99629483
PLOR,52.064,35.8496,-1.72,8.93,0.11,0.27,0.007,IPGN,9.094135473
PLZI,51.971,35.6303,-1.31,10.25,0.15,0.18,0.006,IPGN,10.33337312
PMBK,44.55,40.84,2.93,7.28,0.69,0.69,-0.007,Reilinger,7.847502788
POLD,45.0615,39.3514,4.86,9.66,0.14,0.16,0.006,IPGN,10.81365803
POOL,51.5742,36.4031,-2.97,9.91,0.13,0.16,0.009,IPGN,10.34548211
POOS,57.237,26.379,2.49,23.08,2.39,2.23,0.021,Raeesi,23.21392901
PTNS,42.91,39.232,-2.5,9.13,0.38,0.32,0.001,Reilinger,9.466092119
QAE2,59.188,33.663,-0.59,5.33,0.75,0.72,0.006,Raeesi,5.362555361
QAEN,59.176,33.74,-0.14,5.61,0.1,0.11,0.018,IPGN,5.611746609
QIR2,53.029,28.477,-3.21,15.39,1.18,1.19,0.001,Raeesi,15.72120224
QOMS,51.799,32.25,-2.73,14.19,0.74,0.7,0,Raeesi,14.45022491
QUCH,58.5373,37.0707,-0.5,2.38,0.17,0.1,0.011,IPGN,2.431953947
RAIN,57.584,29.762,1.7,14.48,1.59,1.59,0.002,Raeesi,14.57945129
RAVR,56.8092,31.252,0.85,12.19,0.11,0.16,0.011,IPGN,12.21959901
RAZ0,44.718,40.52,3,7.31,0.88,0.94,-0.01,Reilinger,7.901651726
RAZD,55.8,28.33,3.62,15.4,0.99,0.99,0.015,Raeesi,15.81974715
ROBA,56.07,33.369,0.56,10.25,0.43,0.4,0.011,Raeesi,10.26528616
ROKM,51.0983,35.4872,-1.21,11.49,0.4,0.36,0.001,IPGN,11.55353626
RSHT,49.6244,37.323,-2.29,12.89,0.1,0.1,0.017,IPGN,13.09183715
